User,User_type,Download (Rx) bandwidth (bps)_1,Rx packet loss (percent)_1,Upload (Tx) bandwidth (bps)_1,Tx packet loss (percent)_1,RTT (ping) (ms)_1,Rx packet loss burst length (packets)_1,Tx packet loss burst length (packets)_1,Rx instant jitter (ms)_1,Tx instant jitter (ms)_1,Rx RFC3550 jitter (ms)_1,Tx RFC3550 jitter (ms)_1,Download (Rx) bandwidth (bps)_2,Rx packet loss (percent)_2,Upload (Tx) bandwidth (bps)_2,Tx packet loss (percent)_2,RTT (ping) (ms)_2,Rx packet loss burst length (packets)_2,Tx packet loss burst length (packets)_2,Rx instant jitter (ms)_2,Tx instant jitter (ms)_2,Rx RFC3550 jitter (ms)_2,Tx RFC3550 jitter (ms)_2,Download (Rx) bandwidth (bps)_3,Rx packet loss (percent)_3,Upload (Tx) bandwidth (bps)_3,Tx packet loss (percent)_3,RTT (ping) (ms)_3,Rx packet loss burst length (packets)_3,Tx packet loss burst length (packets)_3,Rx instant jitter (ms)_3,Tx instant jitter (ms)_3,Rx RFC3550 jitter (ms)_3,Tx RFC3550 jitter (ms)_3,network
6,3,4185233,1.2245761,887226,10.584197,97,1.0933163,1.3509943,32.924297,4.7683997,7.579266,1.3671837,4744340.5,0.034174275,668500.9,8.392168,141,1,1.0416136,17.8846,0.9816,5.7073874,0.6079674,4626847,1.0580015,1012965.6,17.21383,98.1323,1.2134063,1.4610448,15.5489,5.9280996,6.415239,1.7718835,1
6,3,4277584,1.0874491,833787.06,9.75519,157,1.133734,1.2986318,26.5224,7.1766996,6.8160834,1.9406354,4743000.5,0.042102706,632833.4,10.518491,150,1,1.0453087,20.7323,1.2379,6.8882065,0.5502194,4121212.8,1.3115698,882978.8,16.517618,98.1323,1.2134064,1.5990297,21.3815,11.9239,6.969996,13.52997,
6,3,4153272,0.78602916,858301.6,10.076685,98,1.342569,1.304586,19.3671,4.948,7.064027,1.5699695,4776782,0.051046442,708736,11.023742,154,1,1.0495608,19.456299,1.5759,6.0344605,0.74561775,3918450.2,1.5944828,676019.8,14.094438,98.1323,1.2134066,1.418849,27.220299,9.0398,7.817346,2.4696672,
6,3,4200632.5,0.9644389,837399.94,9.572057,98,1.342569,1.2688682,18.868599,3.8402,6.183399,1.3599275,4756918,0.06288919,627920.1,9.969212,132.2031,1,1.0722431,16.804699,1.7366999,6.2937546,0.6079523,3863530.5,1.9606868,633858.56,13.464763,48,1.2134063,1.4574932,28.0297,1.6048,6.8702474,3.603631,
6,3,4218271.5,0.94368064,753328.75,10.645925,104,1.464704,1.2841865,22.6561,4.8901,6.1935997,2.1206088,4774437.5,0.07687074,702993.56,9.484226,132,1,1.0878799,24.3016,2.2514,6.7225313,0.6742131,3841574,2.3945754,610389.75,12.106273,48,1.2134056,1.1217175,16.2824,1.7738999,6.492715,1.1556985,
6,3,4298914,1.1646327,796184.6,11.625734,104,1.4647046,1.2822926,18.9244,44.3666,6.5499754,7.30814,4719949.5,0.09398167,651774.2,6.269648,132,1,1.001478,16.2221,1.3769,6.3960085,0.61131394,3911664.2,2.970395,722285.7,11.7372875,108.0299,1.2134056,1.5104218,9.4071,2.4789,3.172743,1.5106741,
6,3,4305774.5,1.414484,822234.7,11.92863,142,1.464705,1.2860084,23.835,24.3245,7.2447367,8.520726,4801043,0.11392838,703553.75,7.0641956,134,1,1.001478,17.1892,1.6475999,6.997348,0.70851153,4393548,1.6650459,752287.8,11.571935,108.0299,1.3149841,1.4994875,19.9298,3.9882998,6.31179,1.2467595,
6,3,4372699,0.57621694,792543.2,13.640449,132,1.2997934,1.2806088,18.225899,3.8019998,6.4913282,1.0393436,4840869.5,0.1403289,685003.4,7.5612636,130,1,1.0018513,20.758799,5.1463,7.7657557,0.92216635,4688341.5,0.9608198,881197.6,12.765837,108.0299,1.2852774,1.2089983,11.2227,2.3178,5.188029,5.270776,
6,3,4372879,0.70521796,792517.06,13.684125,31,1.2997931,1.2963179,17.263899,4.3577,6.0792875,1.0393436,4829085,0.17007703,682491.94,7.741225,130,1,1.002059,21.0651,1.3011999,6.579279,0.5401652,4662250,1.1766274,878407.1,12.66195,108.0299,1.2852762,1.1779174,21.1702,3.8674998,6.4912777,1.1789607,
6,3,4326361.5,0.867308,846107.6,12.974416,13,1.299793,1.3312697,24.0079,151.58119,7.0560417,11.0004,4815285.5,0.12050037,608196.4,8.017217,123,1,1.0025768,31.1446,2.2043,7.4809237,0.7905214,4525967.5,1.4413553,977831.94,14.352606,106.243,1.2852767,1.4991128,13.655999,2.5426,6.2065935,6.674339,
6,3,4316706.5,1.0284835,774605.5,10.730931,13,1.2997925,1.3048575,144.1019,11.684999,13.551338,2.0505948,4805769,0.14729469,663780.25,5.530852,113,1,1.0042915,23.0064,3.5363998,7.117722,0.67950565,4452721,1.7637551,869152.8,13.255647,106.243,1.2852759,1.172986,146.55789,7.7475996,13.360991,1.8658462,1
