User,User_type,Download (Rx) bandwidth (bps)_1,Rx packet loss (percent)_1,Upload (Tx) bandwidth (bps)_1,Tx packet loss (percent)_1,RTT (ping) (ms)_1,Rx packet loss burst length (packets)_1,Tx packet loss burst length (packets)_1,Rx instant jitter (ms)_1,Tx instant jitter (ms)_1,Rx RFC3550 jitter (ms)_1,Tx RFC3550 jitter (ms)_1,Download (Rx) bandwidth (bps)_2,Rx packet loss (percent)_2,Upload (Tx) bandwidth (bps)_2,Tx packet loss (percent)_2,RTT (ping) (ms)_2,Rx packet loss burst length (packets)_2,Tx packet loss burst length (packets)_2,Rx instant jitter (ms)_2,Tx instant jitter (ms)_2,Rx RFC3550 jitter (ms)_2,Tx RFC3550 jitter (ms)_2,Download (Rx) bandwidth (bps)_3,Rx packet loss (percent)_3,Upload (Tx) bandwidth (bps)_3,Tx packet loss (percent)_3,RTT (ping) (ms)_3,Rx packet loss burst length (packets)_3,Tx packet loss burst length (packets)_3,Rx instant jitter (ms)_3,Tx instant jitter (ms)_3,Rx RFC3550 jitter (ms)_3,Tx RFC3550 jitter (ms)_3,network
1,2,3993079.5,4.750302,574547.2,9.260887,154,1.2544398,1.4397155,20.2696,3.2531,5.194845,0.9351899,3403367,0.057979215,931384,10.4645815,126,1.041173,1.6770017,113.746796,111.3424,16.519913,17.327784,3613226.2,3.7620704,618882.94,10.34899,130,1.1418996,1.4329605,25.9296,2.3758,6.427737,0.63736373,
1,2,3944471.2,4.6959906,546158.25,9.533645,149,1.1853427,1.464548,15.3229,3.7424998,5.971475,1.8760377,3741426,2.900924,1013677.9,9.348285,126,1.2614056,1.4288245,53.8867,1.6019,14.96344,0.6507619,3487718.8,3.346185,627723.1,11.557121,111,1.2102898,1.4577085,21.811499,1.8629999,6.231745,1.3831484,
1,2,3977608.8,4.8614097,415143.5,10.192236,149,1.1719822,1.4590466,168.86299,10.3932,14.316203,3.4515524,4178340,3.180811,835229.6,10.118291,139,1.2614056,1.5663334,12.604199,2.5842,5.414648,0.7299379,3510254.8,3.629833,636315.5,10.705305,111,1.375135,1.3884057,20.649,5.7156997,6.6728516,1.6715574,
1,2,3863400.5,5.0460563,356612.62,11.249909,147,1.3818297,1.3367057,13.679899,5.0046997,5.311708,1.4470122,4236504,2.3252535,805788.2,10.380825,139,1.2337644,1.5500172,11.339499,2.9229,5.0741735,0.9147327,3664215,3.4552808,651512.8,11.463446,134.0173,1.5317643,1.4337808,23.799799,3.1792,6.7014136,0.96157354,
1,2,3855905.8,4.21458,362930,10.800739,147,1.1914042,1.2750798,24.3328,3.9132998,6.6336193,1.1180519,4469042.5,2.6284976,824744.9,10.478752,162,1.4138532,1.5017564,17.5002,16.6871,5.086393,4.224432,3634560,3.3875015,625421.56,11.309503,139,1.1979678,1.4083002,0.32909998,2.2259998,5.745224,2.0163903,
1,2,3939611,4.488573,430949.75,13.187124,157,1.2261645,1.3048818,13.169,3.1218,5.589907,0.918094,4739311.5,2.3839545,720846.75,10.032989,58,1.0898199,1.5507212,14.4630995,9.091499,5.2151833,2.2902372,3679477.5,3.8940556,631587.44,10.064184,149.9342,1.2391849,1.4152045,13.4464,8.6858,7.321583,2.4982347,1
1,2,3968831.2,4.0043116,443724.75,14.324363,132,1.3351552,1.3022083,24.372,3.2477999,6.3240466,0.88114727,4865421.5,2.4811215,723518.6,8.185251,58,1.400787,1.2654905,26.5623,13.3754,7.959266,5.120726,3822055.5,3.8968544,708419.75,10.829382,147.83,1.1951845,1.4953176,25.4327,4.792,5.8114614,1.1135305,
1,2,3980227.5,4.6969967,598501.9,15.467836,132,1.3584453,1.3315217,17.272299,7.2118998,6.48676,1.4461712,4694924,2.5179603,699446.06,8.185251,141.6948,1.5329301,1.2654905,139.5251,3.5275998,13.340001,1.3692211,3752106,1.814712,685823.6,10.829382,151,1.2462031,1.4953176,11.8055,4.4727,5.671214,1.1135305,
1,2,3623048.5,5.343913,546529.5,15.302221,141.3862,1.4007018,1.3743328,14.313999,2.8339999,5.8870606,0.82022953,4853465.5,2.7228453,757232.4,6.9056435,141.6948,1.1622618,1.2458158,18.0117,10.8845,5.295403,3.0485327,3666265.8,1.8147122,670694.44,11.780793,151,1.246203,1.5913488,11.8055,4.4727,5.680552,1.1135305,
1,2,3440517.5,6.1786413,545674.5,15.283577,127,1.2517962,1.4223225,16.4856,3.0089,5.8906345,1.37779,4815226,2.936688,679585.1,7.875745,122,1.1946611,1.1897798,17.0235,4.4477997,5.7665663,1.238159,3918511.5,1.8334888,666687.75,11.780793,152,1.2462037,1.5913488,3.8067,0.2503,4.6338687,1.1135305,
